Dataset      AP_mwd (µm)    Void_frac (%)    V/S (µm)     V/S (m)    m/S (kg/m²)    S/m (m²/kg)    Kogha Sw (m²/kg)
A_vf_11           7.7313          11           0.8587  8.5867e-07     0.0016744          597.22                2100
B_vf_6            4.5596           6           0.6629  6.6287e-07     0.0012926          773.63                1600
C_vf_6            5.3438           6           0.7782  7.7823e-07     0.0015176          658.95                1900
D_vf_7            4.3559           7           0.5993  5.9931e-07     0.0011687          855.68                2100
E_vf_7            8.1854           7           1.1263  1.1263e-06     0.0021962          455.32                1500
F_vf_6            8.6591           6           1.2749  1.2749e-06     0.002486           402.26                 900
G_vf_14           3.4167          13.9996      0.4618  4.6183e-07     0.00090056        1110.4                 3100
H_vf_13           3.7836          12.9997      0.5233  5.2326e-07     0.0010204          980.05                2600
I                 3.0309           0           0.7303  7.3028e-07     0.0014241          702.22                2000
J                 3.7919           0           0.9139  9.1395e-07     0.0017822          561.1                 1800
K                 3.6889           0           0.8885  8.8852e-07     0.0017326          577.16                1700
R                14.8659           0           3.6022  3.6022e-06     0.0070243          142.36                 500
S                 7.8058           0           1.879   1.879e-06      0.0036641          272.92                 900
T                 2.8298           0           0.6816  6.8161e-07     0.0013291          752.37                1900
