VOID_MODE = overlay

Dataset                                 AP_mwd (µm)    AP_vol (%)    Void_frac % (overlay)    V/S (µm)     V/S (m)    m/S (kg/m²)    S/m (m²/kg)  Kogha Sw (m²/kg)
------------------------------------  -------------  ------------  -----------------------  ----------  ----------  -------------  -------------  ------------------
example_4um_vf10_ap50_00_tmp0                4.1276       52.0016                   0           0.6919  6.9188e-07     0.0013492          741.2
ext_clipped_4um_vf03_ap55_00                 4.1263       57.2006                   7.8523      0.3664  3.6636e-07     0.00071441        1399.8
ext_clipped_4um_vf03_ap55_03_tmp12           3.949         3.8325                   0           0.6915  6.9153e-07     0.0013485          741.57
ext_clipped_4um_vf03_ap55_03_tmp14           4.1319        3.8007                   0           0.7237  7.2365e-07     0.0014111          708.65
ext_clipped_4um_vf03_ap55_03_tmp4            4.0317       57.2018                   0           0.6701  6.7007e-07     0.0013066          765.32
ext_unclipped_4um_vf03_ap55_00               4.0353       57.2465                   2.8641      0.4923  4.9229e-07     0.00095997        1041.7
htpb_only_clipped_4um_vf03_ap55_00           4.1949       57.18                     3.4252      0.4656  4.6555e-07     0.00090783        1101.5
htpb_only_unclipped_4um_vf03_ap55_00         4.0387       57.2384                   2.9999      0.4724  4.7238e-07     0.00092115        1085.6
int_unclipped_4um_vf03_ap55_00               4.0508       57.2218                   2.9899      0.4962  4.9615e-07     0.0009675         1033.6

PARTICLE SIZE DISTRIBUTION
Dataset                                  N    d_min (µm)    d_max (µm)    d_mean (µm)    d_median (µm)    d_std (µm)    d_p5 (µm)    d_p95 (µm)    MWD (µm)    sigma_ln    rad_dev    mean_rad_input (µm)
------------------------------------  ----  ------------  ------------  -------------  ---------------  ------------  -----------  ------------  ----------  ----------  ---------  ---------------------
example_4um_vf10_ap50_00_tmp0         2807           2.3           9.4            3.6              3.5           0.9          2.4           5.3         4.1       0.244      0.247                   1.91
ext_clipped_4um_vf03_ap55_00          3496           1.9           9.5            3.3              3.1           1.1          1.9           5.3         4.1       0.33       0.339                   1.83
ext_clipped_4um_vf03_ap55_03_tmp12     189           2.4           5.7            3.6              3.5           0.8          2.4           5.1         3.9       0.228      0.231                   1.87
ext_clipped_4um_vf03_ap55_03_tmp14     168           2.5           7.8            3.7              3.5           0.9          2.6           5.3         4.1       0.238      0.242                   1.93
ext_clipped_4um_vf03_ap55_03_tmp4     3792           1.8          11              3.2              3             1.1          1.8           5.2         4         0.339      0.349                   1.79
ext_unclipped_4um_vf03_ap55_00        3781           1.8          12              3.2              3             1.1          1.9           5.2         4         0.337      0.346                   1.78
htpb_only_clipped_4um_vf03_ap55_00    3355           1.9          10.9            3.3              3.1           1.2          2             5.4         4.2       0.328      0.337                   1.86
htpb_only_unclipped_4um_vf03_ap55_00  3751           1.8           9              3.2              3             1.1          1.9           5.2         4         0.338      0.347                   1.79
int_unclipped_4um_vf03_ap55_00        3725           1.8           9.3            3.2              3             1.1          1.9           5.2         4.1       0.337      0.347                   1.8
